A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Northeast,West,6.703125,5.881246739697444,0.8218782603025563,0.09245002629483232,8.889973245453763,720.4108096307464,2.020605904817785e-14,0.6216252130637915
Northeast,South,6.703125,5.9080938697318,0.7950311302681996,0.08632859377083285,9.209360369968293,1084.3844170635073,2.7844393457598926e-13,0.5501633645446897
Midwest,Northeast,6.161982294794795,6.703125,-0.5411427052052051,0.10817642602675227,-5.002408797193755,513.2124490209748,4.638952972646493e-06,-0.38645422483945713
Midwest,West,6.161982294794795,5.881246739697444,0.28073555509735115,0.11803851591736292,2.3783385695385233,589.166954923383,0.08238375157585975,0.18935136082559853
Midwest,South,6.161982294794795,5.9080938697318,0.25388842506299447,0.1133080314033733,2.2406922255948394,590.1246564001663,0.11359434715419958,0.16031488314055126
South,West,5.9080938697318,5.881246739697444,0.02684713003435668,0.09840517361654118,0.27282234305050684,823.3444237960564,0.992900771074107,0.017798288944852206
